X,T,T_a
0.00000,300.00000,300.00000
0.01000,306.66328,306.95000
0.02000,313.31459,313.80000
0.03000,319.94211,320.55000
0.04000,326.53428,327.20000
0.05000,333.07994,333.75000
0.06000,339.56847,340.20000
0.07000,345.98985,346.55000
0.08000,352.33483,352.80000
0.09000,358.59494,358.95000
0.10000,364.76262,365.00000
0.11000,370.83124,370.95000
0.12000,376.79513,376.80000
0.13000,382.64961,382.55000
0.14000,388.39098,388.20000
0.15000,394.01651,393.75000
0.16000,399.52438,399.20000
0.17000,404.91365,404.55000
0.18000,410.18419,409.80000
0.19000,415.33658,414.95000
0.20000,420.37205,420.00000
0.21000,425.29235,424.95000
0.22000,430.09968,429.80000
0.23000,434.79654,434.55000
0.24000,439.38567,439.20000
0.25000,443.86990,443.75000
0.26000,448.25209,448.20000
0.27000,452.53500,452.55000
0.28000,456.72122,456.80000
0.29000,460.81307,460.95000
0.30000,464.81259,465.00000
0.31000,468.72141,468.95000
0.32000,472.54078,472.80000
0.33000,476.27152,476.55000
0.34000,479.91397,480.20000
0.35000,483.46809,483.75000
0.36000,486.93337,487.20000
0.37000,490.30894,490.55000
0.38000,493.59357,493.80000
0.39000,496.78573,496.95000
0.40000,499.88368,500.00000
0.41000,502.88547,502.95000
0.42000,505.78907,505.80000
0.43000,508.59242,508.55000
0.44000,511.29349,511.20000
0.45000,513.89038,513.75000
0.46000,516.38134,516.20000
0.47000,518.76487,518.55000
0.48000,521.03973,520.80000
0.49000,523.20501,522.95000
0.50000,525.26017,525.00000
0.51000,527.20501,526.95000
0.52000,529.03973,528.80000
0.53000,530.76487,530.55000
0.54000,532.38134,532.20000
0.55000,533.89038,533.75000
0.56000,535.29349,535.20000
0.57000,536.59242,536.55000
0.58000,537.78907,537.80000
0.59000,538.88546,538.95000
0.60000,539.88368,540.00000
0.61000,540.78573,540.95000
0.62000,541.59357,541.80000
0.63000,542.30894,542.55000
0.64000,542.93337,543.20000
0.65000,543.46808,543.75000
0.66000,543.91397,544.20000
0.67000,544.27151,544.55000
0.68000,544.54078,544.80000
0.69000,544.72140,544.95000
0.70000,544.81258,545.00000
0.71000,544.81307,544.95000
0.72000,544.72121,544.80000
0.73000,544.53499,544.55000
0.74000,544.25208,544.20000
0.75000,543.86989,543.75000
0.76000,543.38566,543.20000
0.77000,542.79653,542.55000
0.78000,542.09967,541.80000
0.79000,541.29235,540.95000
0.80000,540.37204,540.00000
0.81000,539.33658,538.95000
0.82000,538.18418,537.80000
0.83000,536.91364,536.55000
0.84000,535.52437,535.20000
0.85000,534.01650,533.75000
0.86000,532.39097,532.20000
0.87000,530.64960,530.55000
0.88000,528.79512,528.80000
0.89000,526.83123,526.95000
0.90000,524.76261,525.00000
0.91000,522.59493,522.95000
0.92000,520.33481,520.80000
0.93000,517.98984,518.55000
0.94000,515.56845,516.20000
0.95000,513.07993,513.75000
0.96000,510.53427,511.20000
0.97000,507.94210,508.55000
0.98000,505.31458,505.80000
0.99000,502.66327,502.95000
1.00000,499.99999,500.00000
