eta,f,g,h
0.0,0.0,0.0,0.72548
0.5,0.0844,0.32522,0.57542
1.0,0.3127,0.57579,0.42788
1.5,0.64821,0.75504,0.29212
2.0,1.05724,0.87179,0.17972
2.5,1.51184,0.93989,0.09815
3.0,1.99162,0.975,0.04704
3.5,2.48364,0.99085,0.01962
4.0,2.98087,0.99707,0.00709
4.5,3.48004,0.99918,0.00221
5.0,3.97982,0.9998,0.00059
5.5,4.47976,0.99996,0.00014
6.0,4.97975,0.99999,3e-05
6.5,5.47975,1.0,0.0
7.0,5.97975,1.0,0.0
7.5,6.47975,1.0,0.0
8.0,6.97975,1.0,0.0
8.5,7.47975,1.0,0.0
9.0,7.97975,1.0,0.0
9.5,8.47975,1.0,0.0
10.0,8.97975,1.0,0.0
