f,g,h,eta
0.0,0.0,0.00433,0.0
0.00242,0.01346,0.04953,0.5
0.01722,0.04949,0.09453,1.0
0.05563,0.10783,0.13852,1.5
0.12861,0.18751,0.17946,2.0
0.24631,0.28619,0.21381,2.5
0.41723,0.39942,0.23677,3.0
0.647,0.52022,0.24338,3.5
0.9372,0.63955,0.23065,4.0
1.28468,0.74781,0.19971,4.5
1.68184,0.83721,0.15654,5.0
2.11806,0.90383,0.11021,5.5
2.58196,0.94835,0.06931,6.0
3.06341,0.97491,0.03881,6.5
3.5548,0.98901,0.01931,7.0
4.05119,0.99568,0.00853,7.5
4.54984,0.99848,0.00335,8.0
5.04938,0.99952,0.00117,8.5
5.54925,0.99987,0.00036,9.0
6.04921,0.99997,0.0001,9.5
6.54921,1.0,2e-05,10.0
