PID,X,Y,Vx,Vy
0.0,2.9474151409652007,2.975168497319665,-1.9402161290686562e-07,1.9305238345698805e-07
1.0,2.947412073078117,2.9751706931086503,-3.904879858995195e-08,1.3808672815960385e-07
2.0,3.101774549726141,2.343718208943791,-0.00028586582321802603,0.0011690436611856009
3.0,2.947409878591447,2.975160393253105,1.3348034537042965e-07,7.183960809111499e-07
4.0,2.94741069481529,2.975172082375575,1.1262486989356027e-07,-6.463771049469496e-08
5.0,2.947409824735085,2.975173786993521,1.4298945055077542e-07,-1.422751412403372e-07
6.0,2.947416602966035,2.9751665825008184,-3.703948942055166e-07,4.0167629069347246e-07
7.0,2.9474096502063847,2.975171952541226,1.82358347900639e-07,4.296204618952572e-09
8.0,2.947410788547341,2.975172718928691,1.5652209491661842e-07,-1.4425254767215957e-07
9.0,2.837096048110701,2.490682045463788,0.00010118128815790584,0.0004447506963234796
10.0,2.947409717359523,2.975169058290717,1.7396775603204593e-07,1.800091418444073e-07
