patchName,X,Y,Z,DT,T,gradTx,gradTy,gradTz
north,0.05,1.05,0.5,1,0,335.992,-1121.53,0
north,0.15,1.15,0.5,1,0,43.1295,-215.06,8.03215e-16
north,0.25,1.25,0.5,1,0,27.2015,-54.8787,0
north,0.35,1.35,0.5,1,0,14.378,-22.3937,0
north,0.45,1.45,0.5,1,0,7.21023,-10.7447,0
north,0.55,1.55,0.5,1,0,3.34498,-5.15126,-2.95758e-17
north,0.65,1.65,0.5,1,0,1.28225,-2.22246,0
north,0.75,1.75,0.5,1,0,0.265656,-0.708839,-4.76213e-18
north,0.85,1.85,0.5,1,0,-0.0891742,-0.0484254,-8.97252e-19
north,0.95,1.95,0.5,1,0,-0.0527105,0.0735919,1.30861e-19
south,0.05,0.05,0.5,1,0,-1155.9,460.437,-2.22853e-15
south,0.15,0.15,0.5,1,0,-479.703,340.273,0
south,0.25,0.25,0.5,1,0,-280.689,220.21,-8.66884e-16
south,0.35,0.35,0.5,1,0,-184.984,151.162,5.98501e-16
south,0.45,0.45,0.5,1,0,-126.497,103.822,4.09173e-16
south,0.55,0.55,0.5,1,0,-85.5069,69.2407,0
south,0.65,0.65,0.5,1,0,-55.8863,44.3035,1.70907e-16
south,0.75,0.75,0.5,1,0,-35.0322,27.0526,-1.02753e-16
south,0.85,0.85,0.5,1,0,-20.9754,15.3773,0
south,0.95,0.95,0.5,1,0,-12.0031,5.29657,2.20147e-17
west,0,0.05,0.5,1,100,-1191.83,513.864,-2.22853e-15
west,0,0.15,0.5,1,100,-752.712,168.982,2.22853e-15
west,0,0.25,0.5,1,100,-515.906,92.47,0
west,0,0.35,0.5,1,100,-382.832,52.2453,0
west,0,0.45,0.5,1,100,-306.925,28.8343,0
west,0,0.55,0.5,1,100,-267.495,11.3786,0
west,0,0.65,0.5,1,100,-261.411,-11.1848,0
west,0,0.75,0.5,1,100,-312.235,-65.152,0
west,0,0.85,0.5,1,100,-522.019,-239.751,0
west,0,0.95,0.5,1,100,-1271.24,-551.685,0
east,1,1.05,0.5,1,0,-8.64985,5.07625,2.20147e-17
east,1,1.15,0.5,1,0,-11.6552,0.356309,-2.20147e-17
east,1,1.25,0.5,1,0,-10.0751,-1.11193,1.87378e-17
east,1,1.35,0.5,1,0,-7.20746,-1.42043,-1.87378e-17
east,1,1.45,0.5,1,0,-4.39339,-1.24982,7.15744e-18
east,1,1.55,0.5,1,0,-2.20819,-0.895759,-7.15744e-18
east,1,1.65,0.5,1,0,-0.810349,-0.525284,0
east,1,1.75,0.5,1,0,-0.107056,-0.230217,-3.75307e-21
east,1,1.85,0.5,1,0,0.110518,-0.0425519,3.75307e-21
east,1,1.95,0.5,1,0,0.0631512,0.0434173,0
