x,y,y_pred
0.0,0.0,0.015046234242618084
0.005,0.00999933334666654,0.02284853160381317
0.01,0.01999466709331708,0.030781881883740425
0.015,0.029982003239722298,0.038843922317028046
0.02,0.03995734698458635,0.04703238978981972
0.025,0.04991670832341408,0.0553445927798748
0.03,0.05985610364445968,0.063776895403862
0.035,0.06977155732211825,0.07232630997896194
0.04,0.07965910330712299,0.08098779618740082
0.045,0.08951478671291209,0.08975693583488464
0.05,0.09933466539753061,0.09862837940454483
0.055,0.10911481154043466,0.10759620368480682
0.06,0.11885131321356729,0.11665444076061249
0.065,0.12854027594607756,0.12579548358917236
0.07,0.13817782428205688,0.13501212000846863
0.075,0.14776010333066977,0.14429634809494019
0.08,0.15728328030805888,0.1536392867565155
0.085,0.1667435460704072,0.1630321443080902
0.09,0.17613711663754497,0.1724642962217331
0.095,0.18546023470649134,0.18192684650421143
0.1,0.19470917115432526,0.1914079338312149
0.105,0.20388022652978507,0.20089657604694366
0.11,0.2129697325329998,0.21038128435611725
0.115,0.2219740534827599,0.21984997391700745
0.12,0.23088958777074145,0.22929060459136963
0.125,0.2397127693021015,0.23869001865386963
0.13,0.24844006892186837,0.24803569912910461
0.135,0.2570679958265566,0.2573147416114807
0.14,0.2655930989604417,0.26651373505592346
0.145,0.2740119683959368,0.2756197452545166
0.15,0.2823212366975177,0.28461989760398865
0.155,0.29051758026865254,0.2935011684894562
0.16,0.29859772068119605,0.30225077271461487
0.165,0.3065584259867169,0.3108570873737335
0.17,0.3143965120092343,0.3193071782588959
0.17500000000000002,0.32210884361884556,0.3275901675224304
0.18,0.32969233598573655,0.33569493889808655
0.185,0.3371439558140725,0.3436110019683838
0.19,0.34446072255527566,0.3513289988040924
0.195,0.3516397096002051,0.35883980989456177
0.2,0.3586780454497614,0.3661353886127472
0.20500000000000002,0.36557291486344795,0.37320849299430847
0.21,0.37232155998542965,0.38005244731903076
0.215,0.3789212814476385,0.38666224479675293
0.22,0.38536943944948465,0.3930330276489258
0.225,0.3916634548137417,0.3991613984107971
0.23,0.397800810018183,0.40504470467567444
0.23500000000000001,0.40377905020255717,0.41068127751350403
0.24,0.40959578415049913,0.41607043147087097
0.245,0.41524868524598524,0.42121270298957825
0.25,0.42073549240394825,0.4261089563369751
0.255,0.4260540109746815,0.43076133728027344
0.26,0.4312021136216692,0.43517300486564636
0.265,0.43617774117249314,0.4393472969532013
0.27,0.44097890344247376,0.4432889521121979
0.275,0.4456036800307177,0.44700294733047485
0.28,0.45005022108825254,0.4504951536655426
0.28500000000000003,0.45431674805794164,0.4537718594074249
0.29,0.4584015543858834,0.45683974027633667
0.295,0.46230300620401016,0.45970621705055237
0.3,0.46601954298361314,0.4623788595199585
0.305,0.4695496781595338,0.46486562490463257
0.31,0.4728919997247695,0.46717458963394165
0.315,0.4760451707952579,0.4693140983581543
0.32,0.47900793014461246,0.4712923765182495
0.325,0.4817790927085965,0.4731180965900421
0.33,0.4843575500591326,0.47479960322380066
0.335,0.4867422708476597,0.47634509205818176
0.34,0.4889323012176581,0.4777630567550659
0.34500000000000003,0.4909267651861799,0.47906145453453064
0.35000000000000003,0.4927248649942301,0.48024818301200867
0.355,0.49432588142585987,0.48133090138435364
0.36,0.4957291740958432,0.48231688141822815
0.365,0.49693418170582243,0.4832134544849396
0.37,0.49794042226882,0.484027236700058
0.375,0.4987474933020272,0.48476463556289673
0.38,0.4993550719877915,0.4854319393634796
0.385,0.49976291530273953,0.48603492975234985
0.39,0.49997086011498315,0.4865790009498596
0.395,0.49997882324937004,0.4870692789554596
0.4,0.49978680152075255,0.4875105321407318
0.405,0.499394871735262,0.4879072904586792
0.41000000000000003,0.49880319065958684,0.48826363682746887
0.41500000000000004,0.49801199495826837,0.4885833263397217
0.42,0.497021601099038,0.48886996507644653
0.425,0.4958324052262343,0.48912662267684937
0.43,0.49444488300235073,0.4893563985824585
0.435,0.49285958941777674,0.4895620346069336
0.44,0.49107715856880924,0.4897458553314209
0.445,0.4890983034040223,0.48991018533706665
0.45,0.4869238154390976,0.4900570511817932
0.455,0.48455456444022815,0.4901881814002991
0.46,0.48199149807622405,0.49030545353889465
0.465,0.4792356415394571,0.49041008949279785
0.47000000000000003,0.4762880971357977,0.4905036985874176
0.47500000000000003,0.47315004384370724,0.4905872046947479
0.48,0.46982273684266246,0.49066194891929626
0.485,0.46630750701110024,0.4907287657260895
0.49,0.46260576039408413,0.4907885491847992
0.495,0.4587189776409049,0.4908420443534851
0.5,0.45464871341284085,0.4908899664878845
